file,cache_kb,tlb_kb,stride_bytes,average,median,p90,p95,p99,min,max,stddev,pointer_count,unique_pages_touched,page_size_bytes
latency_stride_136_tlb_0_cache_1024.json,1024,0,136,5.312963166666727,4.920833333333333,5.879166666666666,5.885520833333331,6.13752083333333,3.8625,7.3625,0.5294221415215389,7710,64,16384
latency_stride_136_tlb_0_cache_128.json,128,0,136,0.6803165000000441,0.6791666666666667,0.68125,0.68125,0.6854166666666667,0.6729166666666667,1.4895833333333335,0.02080262867876837,963,8,16384
latency_stride_136_tlb_0_cache_131072.json,131072,0,136,95.40593458333412,95.45625,96.43333333333334,96.73333333333333,97.92291666666667,92.88125,102.46875,0.9330264569897929,986895,8192,16384
latency_stride_136_tlb_0_cache_16384.json,16384,0,136,15.259689416666664,15.233333333333334,16.16875,16.283333333333335,16.61877083333333,7.535416666666667,32.18958333333333,0.8974137810222277,123361,1024,16384
latency_stride_136_tlb_0_cache_2048.json,2048,0,136,5.324130083333601,4.93125,5.889583333333333,5.897916666666666,6.116666666666666,4.68125,7.629166666666667,0.5287408707359439,15420,128,16384
latency_stride_136_tlb_0_cache_256.json,256,0,136,0.8084821666666586,0.8041666666666667,0.83125,0.8375,0.85627083333333,0.7166666666666667,1.8666666666666667,0.040713127297245,1927,16,16384
latency_stride_136_tlb_0_cache_262144.json,262144,0,136,97.5014369166676,97.61875,98.22520833333333,98.54375,99.97293749999999,95.16875,103.20208333333333,0.8306001629032399,1973790,16384,16384
latency_stride_136_tlb_0_cache_32.json,32,0,136,0.6804033333333688,0.6791666666666667,0.68125,0.68125,0.70625,0.6729166666666667,1.28125,0.01972154502388664,240,2,16384
latency_stride_136_tlb_0_cache_32768.json,32768,0,136,50.783679583332976,51.19375,57.51312500000002,62.00427083333333,68.45004166666666,22.08125,90.4875,6.164255793864698,246723,2048,16384
latency_stride_136_tlb_0_cache_4096.json,4096,0,136,6.314320166666766,6.0125,7.0375,7.08125,7.195833333333333,5.69375,9.204166666666667,0.5215347143298185,30840,256,16384
latency_stride_136_tlb_0_cache_512.json,512,0,136,5.218655750000527,4.791666666666666,5.860416666666667,5.864583333333334,6.125,4.695833333333334,7.1729166666666675,0.511572435164216,3855,32,16384
latency_stride_136_tlb_0_cache_524288.json,524288,0,136,96.90538133333368,96.73333333333333,97.56041666666667,97.96041666666666,99.31252083333332,95.975,103.42291666666667,0.5603882222124125,3947580,32768,16384
latency_stride_136_tlb_0_cache_64.json,64,0,136,0.6799363333333649,0.6791666666666667,0.68125,0.68125,0.6854166666666667,0.6729166666666667,1.24375,0.01895055973531913,481,4,16384
